L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
1;PL010-0001;Członkowie załogi mają zakaz wnoszenia na pokład statku powietrznego:;Broni palnej, broni gazowej i materiałów wybuchowych;Broni palnej i materiałów wybuchowych;Broni gazowej i materiałów wybuchowych;Broni palnej i broni gazowej
2;PL010-0002;Do czego jest zobowiązany dowódca statku powietrznego?;Do zapewnienia bezpieczeństwa statkowi powietrznemu i wykonywania lotu zgodnie z przepisami;Do wykonywania lotu zgodnie z przepisami;Do ubezpieczenia statku powietrznego;Do zapewnienia bezpieczeństwa statkowi powietrznemu
3;PL010-0003;Do lotniska dolatuje statek powietrzny bez łączności. Aby ostrzec pilota, że lotnisko nie jest bezpieczne i nie należy na nim lądować, informator AFIS nada sygnał świetlny:;Serię błysków czerwonych;Serię błysków białych;Ciągły sygnał czerwony;Serią błysków zielonych
4;PL010-0004;Dostępność przestrzeni powietrznej może być czasowo ograniczona ze względu na:;Obronność państwa i bezpieczeństwo publiczne;Warunki pogodowe;Bezpieczeństwo publiczne;Obronność państwa
5;PL010-0005;Kiedy ustaje obowiązek pomocy, spoczywający na dowódcy statku powietrznego który spostrzegł inny statek powietrzny lub morski, który uległ wypadkowi lub znalazł się w niebezpieczeństwie ?;Gdy dowódca wie, że ktoś inny udziela pomocy w podobnych lub lepszych warunkach, niż on sam mógłby udzielić;Tego rodzaju obowiązek nigdy nie ustaje;Gdy zgodę wyrazi Prezes ULC;Gdy zgodzę wyrazi minister właściwy do spraw transportu
6;PL010-0006;Kiedy ustaje obowiązek pomocy, spoczywający na dowódcy statku powietrznego który zauważył katastrofę lub klęskę żywiołową?;Gdy dowódca wie, że ktoś inny udziela pomocy w podobnych lub lepszych warunkach, niż on sam mógłby udzielić;Tego rodzaju obowiązek nigdy nie ustaje;Gdy zgodę wyrazi Prezes ULC;Gdy zgodzę wyrazi minister właściwy do spraw transportu
7;PL010-0007;Kto może wprowadzić zakazy lub ograniczenia lotów nad obszarem całego państwa albo jego część na czas dłuższy niż 3 miesiące?;Minister właściwy do spraw transportu w porozumieniu z Ministrem Obrony Narodowej ministrami właściwymi do spraw wewnętrznych oraz środowiska;Prezes ULC;Minister właściwy do spraw transportu;Minister właściwy do spraw transportu w porozumieniu z Prezesem ULC
8;PL010-0009;W czasie lotów zabrania się dokonywania wszelkich zrzutów ze statku powietrznego z wyjątkiem zrzutów dokonywanych na potrzeby?;Poszukiwania i ratownictwa oraz służby zdrowia;Służby zdrowia;Ochrony granic;Tylko poszukiwania i ratownictwa
9;PL010-0010;W jakim celu jest ustanowiona służba kontroli ruchu lotniczego?;W celu zapobiegania kolizjom podczas lotu statków powietrznych z innymi statkami powietrznymi oraz utrzymywania uporządkowanego przepływu ruchu lotniczego;W celu udzielania wskazówek i informacji użytecznych dla bezpiecznego i sprawnego wykonywania lotów;W celu zapewniania załogom statków powietrznych niezbędnych danych meteorologicznych;W celu zawiadamiania organów systemu poszukiwania i ratownictwa o statkach powietrznych potrzebujących pomocy i współdziałania z tymi organami
10;PL010-0011;W jakim celu ustanowiono służbę informacji lotniczej?;W celu udzielania wskazówek i informacji użytecznych dla bezpiecznego i sprawnego wykonywania lotów;W celu zapewnienia załogom statków powietrznych niezbędnych danych meteorologicznych;W celu zapewnienia pomocy statkom powietrznym w niebezpieczeństwie;W celu optymalizacji natężenia ruchu lotniczego
